id  , designation                 , appmag   , absmag                , b-v; interpret as bprp, ra                   , dec                  , ly                , parallax           , parsec                , from earth X         , from earth Y        , from earth Z          , galactic l            , galactic b
3016, Gaia DR3 2892069009618363520, 5.2678285, -2.8511732707408317   , 2.3995895             ,  97.84988407         , -32.8685115          , 1371.5944730028   , 2.377933175        ,   420.5332641443972   , -48.24124004023745   , 349.9037087133269   , -228.22884050877715   , 241.0946571735914     , -18.38354309544812
3017, Gaia DR3 3001626650311480064, 5.2683825, -4.044959806477141    , 2.2491179             ,  95.89964835546134   , -9.874713269         , 2377.3538816087016, 1.371928691488276  ,   728.9008577517205   , -73.81117019206114   , 714.2988048372392   , -125.00235595445393   , 218.53384824666898    , -10.863404995938211
3018, Gaia DR3 4725779526839408128, 5.2684526, 1.8736800963844829    , 0.52468395            ,  36.22398134         , -60.31253184         , 155.73272143685958, 20.94331859038609  ,    47.7479247467039   , 19.077191214535347   , 13.974659043812544  , -41.48052552210667    , 283.99388506888374    , -53.165534883739866
3019, Gaia DR3 5544669257193493504, 5.268675 , -2.3147442915715057   , 2.9309764             , 122.97231601779875   , -35.77303387         , 1071.7888398341245, 3.043099422928098  ,   328.6123326978883   , -145.10143185821627  , 223.67313956388946  , -192.09884515914163   , 253.13425667872957    , -1.1543860136079391
3020, Gaia DR3 4785713458992582272, 5.268986 , 3.173273982560378     , 0.58328056            ,  75.70255975133574   , -49.15128404         , 85.61853170822262 , 38.09408938610385  ,    26.250791556256093 , 4.240155112851954    , 16.637896798070738  , -19.857127991875085   , 255.67475275006893    , -37.730035149062005
3021, Gaia DR3 6698466664548330496, 5.2690935, 1.8286646454968722    , 0.24214363            , 299.9645743166827    , -34.69810848         , 159.0417490346874 , 20.50757124966379  ,    48.76247839521193  , 20.023877968116476   , -34.731949742793255 , -27.758156952967415   ,   6.006301206058346   , -28.065692206856706
3022, Gaia DR3 1756741374681702784, 5.269335 , 0.8889418249294438    , 1.094459              , 314.60783047224203   , 10.839132980363669   , 245.19070776650418, 13.302135426379998 ,    75.17589980454267  , 51.850437155260096   , -52.56513631756446  , 14.136991269252675    ,  58.44758206106163    , -21.802796092109475
3023, Gaia DR3 1369646142775099136, 5.2695312, 0.7707875326974039    , 1.2377453             , 235.996921           , 32.51576430077614    , 258.9250720209628 , 12.59653989682367  ,    79.38687990439017  , -37.43674038415821   , -55.49581687997894  , 42.672959578485404    ,  51.97719443276558    , 52.643339713277584
3024, Gaia DR3 2888480134944363904, 5.269876 , 0.02387914295860938   , -0.012154579          ,  85.56333774802515   , -34.66758835         , 365.27903234685147, 8.928954884284128  ,   111.99519013810922  , 7.125526092830466    , 91.83621169188815   , -63.7044716959048     , 239.5794239655075     , -28.653894580635715
3025, Gaia DR3 2922717243412685056, 5.2699256, -3.8227459061165137   , -0.21010113           , 103.9455156          , -22.94142494         , 2147.6310460779855, 1.5186779898513187 ,   658.4674346257575   , -146.13828341481727  , 588.5121831548113   , -256.6639336984351    , 233.88218846669304    , -9.521611419514143
3026, Gaia DR3 518125411283109120 , 5.270163 , 0.7866455081673154    , 0.018741608           ,  29.908855528691593  , 64.62152867390228    , 257.1158623830179 , 12.685176129434403 ,    78.83217306534846  , 29.28734852324521    , 16.84699621052262   , 71.22458455733984     , 130.01645330600792    , 2.556670617096757
3027, Gaia DR3 5501722543467500032, 5.270896 , -3.290696962519383    , 1.6554751             , 101.47379563901568   , -52.40964991         , 1681.6823448484167, 1.9394625923208997 ,   515.606747951415    , -62.5654622066407    , 308.2405981313689   , -408.56286558560276   , 261.7549936154395     , -22.058161722764986
3028, Gaia DR3 3408814357702682368, 5.270969 , 1.3078988667943805    , 0.1403532             ,  76.95144562765014   , 20.418234021186215   , 202.32027139270113, 16.12077711021528  ,    62.03174903809868  , 13.125382544767326   , 56.63327461351306   , 21.641035749926374    , 182.23800910669306    , -12.12718720728879
3029, Gaia DR3 5186378382371856128, 5.2713413, -2.6584908261990394   , 2.2117982             ,  45.212037547459815  , -2.878585073         , 1257.1635987347615, 2.5943799226150905 ,   385.4485579706526   , 271.20013910151243   , 273.21489405211236  , -19.357093301135443   , 180.2755496246031     , -50.9692525427338
3030, Gaia DR3 5350406619413548032, 5.271519 , -6.36099789876206     , 0.46173763            , 160.66897013737804   , -59.21574665         , 6917.174822050707 , 0.4715162019040973 ,  2120.8178975860346   , -1024.2533298790786  , 359.3112688225155   , -1821.9959064306433   , 286.94696979103213    , -0.30444031293790735
3031, Gaia DR3 5533042338353486080, 5.272162 , -3.67886861206018     , -0.2433095            , 119.24078110358354   , -43.50036083         , 2012.0162995902826, 1.6210405455781687 ,   616.8877161819138   , -218.58143712037315  , 390.452590208553    , -424.6403001623393    , 258.21279312831905    , -7.659201334050162
